left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,pose
115.62473188092363,102.31064098626764,173.63770892654802,172.1895823478308,64.61951132056699,288.17516937759444,282.6409775091351,283.9293918954753,191.41292931832152,195.273606212502,30.056468026616564,149.29438000687554,cat_cow_pose
115.20491878859644,101.72411527885444,173.96369494560605,172.67621094408057,64.459260267372,288.16402322308625,282.0752529331375,281.2937035870465,194.97961200743188,201.99499651503848,30.684550050274204,148.69570238855306,cat_cow_pose
115.18883390520624,101.4719267906816,174.20469681257202,172.99922714164597,64.16603447583928,288.14413025608343,282.2002663891411,279.38489400640043,195.96366817908265,205.24026829605737,34.034242537687554,145.4150323136619,cat_cow_pose
114.81092515503876,101.68758083344326,174.4926504253533,173.19624512879884,63.887435802190154,288.41897335071405,282.0096606186864,278.4607496133837,195.60045158547757,206.5023103796255,36.58033290547346,142.7095856959811,cat_cow_pose
114.7490909043866,102.0711942276399,174.72759019144544,173.36791383712924,63.7159830295432,288.7093453493023,282.008147869662,278.19428701588316,195.23194937943893,207.34822619701953,38.00966571344124,141.22197004225617,cat_cow_pose
114.6007302761252,102.33568077620026,174.85398700903673,173.50304431967066,63.621520090608804,288.95375777006274,281.91091142804305,278.39518776231824,194.98109831075385,207.01447619005518,38.70879430774069,140.51260188595228,cat_cow_pose
114.40892588825832,102.47264168610191,174.96573180501252,173.5939779137803,63.57681168295715,289.11982802855675,281.82755933761905,278.3652980910506,194.9574922155988,207.1743777373051,38.013635685554554,141.21525090230693,cat_cow_pose
113.95390574047354,102.50913204159693,175.0609086951105,173.66263142559424,63.51133025526028,289.2630524068323,281.7938325789157,278.44475278494286,195.0449300619547,207.1006235455857,37.409564862791356,141.83647795130773,cat_cow_pose
113.74030712808037,102.52002353320191,175.10820004566676,173.70604025755114,63.422253003496955,289.4063143530276,281.7682730981195,278.3679271269872,195.15372220485136,207.41976297175555,36.769008311356444,142.5002316004802,cat_cow_pose
113.53199283162748,102.53700366908927,175.16354327888425,173.74806277638984,63.42232682897026,289.4652672779903,281.69911671578416,278.50785701362753,195.23683598200614,207.2329924128975,36.219600811918994,143.06174583439764,cat_cow_pose
113.36365919321211,102.5191187258424,175.21654298740216,173.79014082381354,63.419584572074484,289.4928818511943,281.54589136659945,278.5667261618455,195.395404454263,207.16265304144184,35.86529327574154,143.4444855826755,cat_cow_pose
112.94464324801972,102.50639711964378,175.36207215996015,173.8329370778562,63.45842179139747,289.5359684699003,281.412195807275,278.5017451506298,195.63984804149118,207.14001069859847,34.11071851807147,145.28806419026918,cat_cow_pose
112.38984739483817,102.50858112257256,175.46448352742266,173.85024409964814,63.465498324676624,289.59518360944287,281.3914589181328,278.4782771309698,195.68026054679746,207.1988459736099,32.576147791401304,146.87518761839976,cat_cow_pose
112.0992383694741,102.53339464165343,175.58263514616246,173.86949328544065,63.56542253591337,289.70162721147335,281.4433886057644,278.42385553111853,196.40127020113545,207.6079128014843,29.94629249720057,149.58458921327107,cat_cow_pose
111.74453018625516,102.67042920018658,175.68291654658685,173.8600462334278,63.659252139271786,289.7750313426642,281.4792152136861,278.402702403417,196.83094052308775,207.9158469803986,27.636970869358024,151.9775995181778,cat_cow_pose
111.2531715290273,102.89565343684372,175.75970937113482,173.83545634443507,63.72713725714377,289.7399671984304,281.4885890677011,278.4711480067788,197.22434106069264,208.03015238840732,28.275757643891986,151.37737930755057,cat_cow_pose
111.08501093296093,103.28671640101726,175.8637325004728,173.79452041674378,63.89129269493214,289.63714632858165,281.647755171595,278.6143675195566,198.2586622051246,208.21117694862542,28.971620860337634,150.72159440468354,cat_cow_pose
110.64263688669821,103.48486105329852,175.91136689593193,173.75200363666372,64.04824992039408,289.51790590595516,282.0319189950736,278.97842415858383,199.11643989350125,208.30058271278907,29.33280964942991,150.35579499729587,cat_cow_pose
110.43221546382858,103.68621053002266,175.97404868285548,173.67934315838676,64.1950372782791,289.4101367332762,282.31700331094527,279.2828495960824,199.77547894688095,208.60519888944884,30.052166588722482,149.6474361675344,cat_cow_pose
110.29344449508704,103.79987785781317,176.03649607824306,173.67389656149112,64.32620806575453,289.2250027254909,282.71197588324355,279.81765814427644,200.26119903785712,208.83132758824806,33.068110434169846,146.59162672051133,cat_cow_pose
110.18703862246763,103.87991921668254,176.0713876666583,173.681903165555,64.41331439767067,289.12689004337267,282.9334275795725,280.20331355707515,200.8075599134761,209.07897717454802,34.236305527433395,145.40298060789303,cat_cow_pose
110.07736786115346,103.91317245274348,176.15854545850215,173.7276843014959,64.51431193434799,288.99812360681955,282.86192766809376,280.4518073741969,200.62362740233647,209.08141973101115,36.46547903703414,143.12815519895486,cat_cow_pose
110.19299412130954,103.93252684466047,176.21248710762168,173.77200965584825,64.55938882013785,288.9037311059851,282.9593144873148,280.7863829662302,200.59578789976862,209.14082843048385,39.42163852128396,140.1207070450806,cat_cow_pose
110.34908102642561,104.08815837133051,176.17559970748056,173.77193011266468,64.50845560477488,288.88647744763125,282.9957446963759,281.27752155378624,200.86037036232682,209.2353348601271,41.696374229898126,137.8179466050321,cat_cow_pose
110.57915177538727,104.22914583099255,176.13566945299306,173.82435679132308,64.51655348054068,288.837225989619,283.11839907574256,281.6027592697561,200.90349779784844,209.30317238233465,43.16274511680153,136.3227746083833,cat_cow_pose
