left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,target
196.578161274301,179.42285702640248,163.9748791177649,173.49797060239567,344.27064451683265,27.199867499309185,179.5876594090554,186.40717969322728,119.0976200801408,119.5078447512149,90.39556596080412,89.35052917096561,corpse_pose
271.802662140992,197.79654835712816,189.9739715312265,130.9287515096903,50.43698136948359,334.3095685500496,359.91509228762027,183.8804798037798,192.53126699137337,162.81208081092592,237.95972195241643,100.334322549297,reclining_twist_pose
155.63089312407578,163.66639199186434,124.84433290297368,110.6316879492462,345.76713253974407,21.175048845058043,181.23890813394084,184.9386513311311,113.33445997498396,123.05122376507953,86.26982065190414,91.70346725092293,corpse_pose
186.07789192554563,179.04493895112523,165.60128198631384,168.8187900187256,348.58730877166454,28.342298537771683,177.50040893250718,182.7494135908227,112.85305983769328,113.9778198377992,92.47225494596005,86.87566726566942,corpse_pose
100.74726108422468,103.71467125962248,175.40189381793456,172.38763364194443,62.11936094597775,299.10199565597634,264.6497687415873,272.8501016382868,206.04986423901065,210.28811477399188,341.94447201488174,196.91847687856728,cat_cow_pose
187.50031200946083,176.48727464516,166.2188384456482,176.68211263717347,346.68681790597805,24.199485530414695,178.15801991651537,186.5664990710036,121.3564706886356,118.481997599229,91.447176301123,87.53136947151275,corpse_pose
116.44378865707542,113.22937100978636,171.14832284856098,170.39070178778408,61.850958610703096,292.1653083504923,262.86049496122695,277.2299317176166,187.36975732721515,206.1759343783599,347.8916992082981,191.49994715216644,cat_cow_pose
139.21927583057607,105.81716847206845,164.37057708243702,166.7468214822703,52.17084920725639,299.66529308411344,308.35262269874625,314.43800218744,173.8739891898265,159.66790734740715,84.54343321266914,96.45208469479078,cat_cow_pose
188.25132676832644,168.69115084536045,181.95450380790905,178.92889848540224,7.125292371023191,7.186073853578123,49.28312031904393,279.88832988423235,109.61541078276356,353.66612209383584,143.76778419156688,176.34668149040115,cobra_pose
210.40806498171855,192.05209961375516,211.39668775944355,195.40665201355128,177.66260822501297,147.8046271140983,5.981286115891531,41.192535196902725,175.9829673262739,157.0718094342721,122.76586213575432,57.82914283208628,child_pose
175.1267634179129,172.30632486068637,117.59663431768348,106.18478983428987,342.8000248525469,25.966135779059957,181.4360880313103,184.45214711361885,109.0990151640138,123.3076464754046,95.63723478890766,82.03839609971392,corpse_pose
158.6674401053886,126.57003796698456,163.52097409999328,161.7198935838346,114.0434180433688,244.94269494951504,302.82431956723445,307.4308206688788,206.15301416961665,212.17797325209548,81.10698742582382,103.80038623787448,child_pose
